CountyCode,CountyName,DistrictCode,DistrictName,StudentGroup,ELAProf_MetTarget,MathProf_MetTarget,Grad4YR_MetTarget,Grad5YR_MetTarget,ELAGrowth_MetStandard,MathGrowth_MetStandard,ELP_MetTarget,CA_MetAverage,ChronicAbs,RequiresTargetedSupImp,Year
01,ATLANTIC,1310,EGG HARBOR TWP,"Asian, Native Hawaiian, or Pacific Islander",Met Target,Met Target†,Met Goal,Not Met,Met Standard,Exceeds Standard,NA,Met,NA,NA,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,American Indian or Alaska Native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,Two or More Races,Met Target,Met Target†,Met Goal,Met Goal,Met Standard,Met Standard,NA,Met,NA,NA,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,Economically Disadvantaged Students,Met Target,Not Met,Met Target,Not Met,Met Standard,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,Students with Disabilities,Not Met,Not Met,Not Met,Not Met,Not Met,Not Met,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,English Learners,Met Target,Met Target†,NA,NA,Exceeds Standard,Met Standard,Met Target†,Met,NA,NA,2017-18
01,ATLANTIC,1410,ESTELL MANOR CITY,Districtwide,Met Target,Not Met,NA,NA,Met Standard,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1410,ESTELL MANOR CITY,White,Met Target,Not Met,NA,NA,Met Standard,Not Met,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1410,ESTELL MANOR CITY,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,1410,ESTELL MANOR CITY,Black or African American,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,1410,ESTELL MANOR CITY,"Asian, Native Hawaiian, or Pacific Islander",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,1410,ESTELL MANOR CITY,American Indian or Alaska Native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,1410,ESTELL MANOR CITY,Two or More Races,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,1410,ESTELL MANOR CITY,Economically Disadvantaged Students,Met Target,Met Target†,NA,NA,Exceeds Standard,NA,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1410,ESTELL MANOR CITY,Students with Disabilities,Not Met,Not Met,NA,NA,NA,NA,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1410,ESTELL MANOR CITY,English Learners,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,1540,FOLSOM BORO,Districtwide,Met Target,Met Target†,NA,NA,Met Standard,Met Standard,NA,Met,NA,NA,2017-18
01,ATLANTIC,1540,FOLSOM BORO,White,Met Target,Met Target†,NA,NA,Met Standard,Met Standard,NA,Met,NA,NA,2017-18
01,ATLANTIC,1540,FOLSOM BORO,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,1540,FOLSOM BORO,Black or African American,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,1540,FOLSOM BORO,"Asian, Native Hawaiian, or Pacific Islander",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,1540,FOLSOM BORO,American Indian or Alaska Native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,1540,FOLSOM BORO,Two or More Races,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,1540,FOLSOM BORO,Economically Disadvantaged Students,Met Target†,Met Target†,NA,NA,Not Met,Met Standard,NA,Met,NA,NA,2017-18
01,ATLANTIC,1540,FOLSOM BORO,Students with Disabilities,Met Target†,Met Target,NA,NA,Not Met,Met Standard,NA,Met,NA,NA,2017-18
01,ATLANTIC,1540,FOLSOM BORO,English Learners,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,1690,GALLOWAY TWP,Districtwide,Not Met,Not Met,NA,NA,Not Met,Met Standard,Met Target,Met,NA,NA,2017-18
01,ATLANTIC,1690,GALLOWAY TWP,White,Not Met,Met Target†,NA,NA,Not Met,Met Standard,NA,Met,NA,NA,2017-18
01,ATLANTIC,1690,GALLOWAY TWP,Hispanic,Not Met,Not Met,NA,NA,Not Met,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1690,GALLOWAY TWP,Black or African American,Not Met,Not Met,NA,NA,Not Met,Met Standard,NA,Met,NA,NA,2017-18
01,ATLANTIC,1690,GALLOWAY TWP,"Asian, Native Hawaiian, or Pacific Islander",Met Target†,Met Target,NA,NA,Met Standard,Exceeds Standard,NA,Met,NA,NA,2017-18
01,ATLANTIC,1690,GALLOWAY TWP,American Indian or Alaska Native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,1690,GALLOWAY TWP,Two or More Races,Met Target†,Not Met,NA,NA,Not Met,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1690,GALLOWAY TWP,Economically Disadvantaged Students,Not Met,Not Met,NA,NA,Not Met,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1690,GALLOWAY TWP,Students with Disabilities,Not Met,Not Met,NA,NA,Not Met,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1690,GALLOWAY TWP,English Learners,Met Target†,Met Target†,NA,NA,Met Standard,Met Standard,Met Target,Not Met,NA,NA,2017-18
01,ATLANTIC,1790,GREATER EGG HARBOR REG,Districtwide,Not Met,Met Target†,Not Met,Met Target,NA,NA,Not Met,Not Met,NA,NA,2017-18
01,ATLANTIC,1790,GREATER EGG HARBOR REG,White,Met Target†,Met Target,Not Met,Not Met,NA,NA,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1790,GREATER EGG HARBOR REG,Hispanic,Not Met,Not Met,Not Met,Met Target,NA,NA,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1790,GREATER EGG HARBOR REG,Black or African American,Not Met,Not Met,Not Met,Met Target,NA,NA,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1790,GREATER EGG HARBOR REG,"Asian, Native Hawaiian, or Pacific Islander",Not Met,Met Target,Met Goal,Not Met,NA,NA,NA,Met,NA,NA,2017-18
01,ATLANTIC,1790,GREATER EGG HARBOR REG,American Indian or Alaska Native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,1790,GREATER EGG HARBOR REG,Two or More Races,Not Met,Met Target,NA,NA,NA,NA,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1790,GREATER EGG HARBOR REG,Economically Disadvantaged Students,Not Met,Not Met,Not Met,Not Met,NA,NA,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1790,GREATER EGG HARBOR REG,Students with Disabilities,Not Met,Not Met,Not Met,Met Target,NA,NA,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1790,GREATER EGG HARBOR REG,English Learners,Met Target†,Met Target†,NA,NA,NA,NA,Not Met,Met,NA,NA,2017-18
01,ATLANTIC,1940,HAMILTON TWP,Districtwide,Met Target†,Not Met,NA,NA,Met Standard,Met Standard,Met Target†,Met,NA,NA,2017-18
01,ATLANTIC,1940,HAMILTON TWP,White,Met Target†,Not Met,NA,NA,Met Standard,Met Standard,NA,Met,NA,NA,2017-18
01,ATLANTIC,1940,HAMILTON TWP,Hispanic,Met Target†,Not Met,NA,NA,Not Met,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1940,HAMILTON TWP,Black or African American,Met Target†,Not Met,NA,NA,Met Standard,Met Standard,NA,Met,NA,NA,2017-18
01,ATLANTIC,1940,HAMILTON TWP,"Asian, Native Hawaiian, or Pacific Islander",Met Target,Not Met,NA,NA,Exceeds Standard,Met Standard,NA,Met,NA,NA,2017-18
01,ATLANTIC,1940,HAMILTON TWP,American Indian or Alaska Native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,1940,HAMILTON TWP,Two or More Races,Met Target†,Met Target†,NA,NA,Met Standard,NA,NA,Met,NA,NA,2017-18
01,ATLANTIC,1940,HAMILTON TWP,Economically Disadvantaged Students,Met Target†,Not Met,NA,NA,Met Standard,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1940,HAMILTON TWP,Students with Disabilities,Not Met,Not Met,NA,NA,Met Standard,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1940,HAMILTON TWP,English Learners,Met Target†,Met Target†,NA,NA,Not Met,Exceeds Standard,Met Target†,Not Met,NA,NA,2017-18
01,ATLANTIC,1960,HAMMONTON TOWN,Districtwide,Met Target,Met Target†,Not Met,Not Met,Met Standard,Met Standard,Met Target,Not Met,NA,NA,2017-18
01,ATLANTIC,1960,HAMMONTON TOWN,White,Met Target,Met Target†,Not Met,Not Met,Met Standard,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1960,HAMMONTON TOWN,Hispanic,Met Target†,Not Met,Not Met,Met Target,Met Standard,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1960,HAMMONTON TOWN,Black or African American,Met Target,Met Target,Not Met,Met Goal,Met Standard,Not Met,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1960,HAMMONTON TOWN,"Asian, Native Hawaiian, or Pacific Islander",NA,NA,NA,NA,NA,NA,NA,Met,NA,NA,2017-18
01,ATLANTIC,1960,HAMMONTON TOWN,American Indian or Alaska Native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,1960,HAMMONTON TOWN,Two or More Races,Met Target†,Met Target,NA,NA,NA,NA,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1960,HAMMONTON TOWN,Economically Disadvantaged Students,Met Target,Met Target†,Not Met,Not Met,Met Standard,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1960,HAMMONTON TOWN,Students with Disabilities,Not Met,Not Met,Not Met,Met Target,Not Met,Not Met,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,1960,HAMMONTON TOWN,English Learners,Met Target,Met Target,NA,NA,Met Standard,Met Standard,Met Target,Not Met,NA,NA,2017-18
01,ATLANTIC,2680,LINWOOD CITY,Districtwide,Met Goal,Met Target†,NA,NA,Exceeds Standard,Met Standard,NA,Met,NA,NA,2017-18
01,ATLANTIC,2680,LINWOOD CITY,White,Met Goal,Met Target†,NA,NA,Exceeds Standard,Met Standard,NA,Met,NA,NA,2017-18
01,ATLANTIC,2680,LINWOOD CITY,Hispanic,Met Target,Not Met,NA,NA,Met Standard,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,2680,LINWOOD CITY,Black or African American,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,2680,LINWOOD CITY,"Asian, Native Hawaiian, or Pacific Islander",Met Goal,Met Goal,NA,NA,Exceeds Standard,NA,NA,Met,NA,NA,2017-18
01,ATLANTIC,2680,LINWOOD CITY,American Indian or Alaska Native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,2680,LINWOOD CITY,Two or More Races,Met Target†,Met Target†,NA,NA,Exceeds Standard,NA,NA,Met,NA,NA,2017-18
01,ATLANTIC,2680,LINWOOD CITY,Economically Disadvantaged Students,Met Target†,Met Target†,NA,NA,Met Standard,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,2680,LINWOOD CITY,Students with Disabilities,Met Target,Met Target†,NA,NA,Met Standard,Met Standard,NA,Met,NA,NA,2017-18
01,ATLANTIC,2680,LINWOOD CITY,English Learners,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,2910,MAINLAND REGIONAL,Districtwide,Met Target,Met Target,Met Goal,Met Goal,NA,NA,NA,Met,NA,NA,2017-18
01,ATLANTIC,2910,MAINLAND REGIONAL,White,Met Target,Met Target,Met Goal,Met Goal,NA,NA,NA,Met,NA,NA,2017-18
01,ATLANTIC,2910,MAINLAND REGIONAL,Hispanic,Not Met,Met Target†,Met Target,Met Target,NA,NA,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,2910,MAINLAND REGIONAL,Black or African American,Met Target,Not Met,Met Goal,NA,NA,NA,NA,Met,NA,NA,2017-18
01,ATLANTIC,2910,MAINLAND REGIONAL,"Asian, Native Hawaiian, or Pacific Islander",Met Goal,Met Target†,NA,NA,NA,NA,NA,Met,NA,NA,2017-18
01,ATLANTIC,2910,MAINLAND REGIONAL,American Indian or Alaska Native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,2910,MAINLAND REGIONAL,Two or More Races,Met Target,Met Target,NA,NA,NA,NA,NA,Met,NA,NA,2017-18
01,ATLANTIC,2910,MAINLAND REGIONAL,Economically Disadvantaged Students,Met Target,Met Target†,Met Target,Met Target,NA,NA,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,2910,MAINLAND REGIONAL,Students with Disabilities,Not Met,Not Met,Met Target,Met Target,NA,NA,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,2910,MAINLAND REGIONAL,English Learners,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,3020,MARGATE CITY,Districtwide,Met Goal,Met Target†,NA,NA,Met Standard,Exceeds Standard,NA,Met,NA,NA,2017-18
01,ATLANTIC,3020,MARGATE CITY,White,Met Goal,Met Goal,NA,NA,Met Standard,Exceeds Standard,NA,Met,NA,NA,2017-18
01,ATLANTIC,3020,MARGATE CITY,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,3020,MARGATE CITY,Black or African American,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,3020,MARGATE CITY,"Asian, Native Hawaiian, or Pacific Islander",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,3020,MARGATE CITY,American Indian or Alaska Native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,3020,MARGATE CITY,Two or More Races,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,3020,MARGATE CITY,Economically Disadvantaged Students,Met Target†,Not Met,NA,NA,Exceeds Standard,NA,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,3020,MARGATE CITY,Students with Disabilities,Met Target†,Not Met,NA,NA,Met Standard,Met Standard,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,3020,MARGATE CITY,English Learners,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,3480,MULLICA TWP,Districtwide,Met Target,Met Target,NA,NA,Met Standard,Not Met,NA,Met,NA,NA,2017-18
01,ATLANTIC,3480,MULLICA TWP,White,Met Target,Met Target,NA,NA,Met Standard,Not Met,NA,Met,NA,NA,2017-18
01,ATLANTIC,3480,MULLICA TWP,Hispanic,Met Target,Met Target†,NA,NA,Met Standard,Not Met,NA,Met,NA,NA,2017-18
01,ATLANTIC,3480,MULLICA TWP,Black or African American,Met Target,Met Target,NA,NA,NA,NA,NA,Met,NA,NA,2017-18
01,ATLANTIC,3480,MULLICA TWP,"Asian, Native Hawaiian, or Pacific Islander",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,3480,MULLICA TWP,American Indian or Alaska Native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,3480,MULLICA TWP,Two or More Races,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,3480,MULLICA TWP,Economically Disadvantaged Students,Met Target,Met Target,NA,NA,Met Standard,Not Met,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,3480,MULLICA TWP,Students with Disabilities,Met Target†,Not Met,NA,NA,Not Met,Not Met,NA,Not Met,NA,NA,2017-18
01,ATLANTIC,3480,MULLICA TWP,English Learners,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,3720,NORTHFIELD CITY,Districtwide,Met Target,Met Target,NA,NA,Met Standard,Met Standard,NA,Met,NA,NA,2017-18
01,ATLANTIC,3720,NORTHFIELD CITY,White,Met Target,Met Target,NA,NA,Met Standard,Met Standard,NA,Met,NA,NA,2017-18
01,ATLANTIC,3720,NORTHFIELD CITY,Hispanic,Met Target,Not Met,NA,NA,Met Standard,Met Standard,NA,Met,NA,NA,2017-18
01,ATLANTIC,3720,NORTHFIELD CITY,Black or African American,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,3720,NORTHFIELD CITY,"Asian, Native Hawaiian, or Pacific Islander",Met Target,Met Goal,NA,NA,Exceeds Standard,NA,NA,Met,NA,NA,2017-18
01,ATLANTIC,3720,NORTHFIELD CITY,American Indian or Alaska Native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
01,ATLANTIC,3720,NORTHFIELD CITY,Two or More Races,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
